RANK,FULLNAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes,USG%Usage,TO%Turnover,FTA,FT%,2PA,2P%,3PA,3P%,eFG%Effective,TS%True,PPG,RPG,TRB%,APG,AST%,SPG,BPG,TOPG,VIVersatility,ORTG,DRTG
,Joel Embiid,Phi,C-F,27.96,48,33,68.7,37.3,10.8,558,0.815,746,0.524,177,0.367,0.529,0.613,29.8,11.1,18.6,4.4,25.6,1.02,1.48,2.94,13.7,119.9,100.3
,James Ennis III,Bro,F,31.67,2,6.9,14.3,22,0,0,0,5,0.2,2,0.5,0.357,0.357,2.5,2.5,19.7,0,0,0.5,0.5,0,0,92.3,111.6
,James Ennis III,Lac,F,31.67,2,14.1,29.3,21.5,7.3,4,1,7,0.714,4,0.5,0.727,0.784,10,2.5,9.3,0,0,0.5,0.5,0.5,0,145.1,97.9
,James Ennis III,Den,F,31.67,3,4.6,9.7,23.6,13.4,1,0,4,0.5,2,0,0.333,0.311,1.3,0.7,8,1,30.5,0,0,0.33,8.4,82.4,109.7
,Drew Eubanks,San,F-C,25.08,49,12.1,25.3,17,19.2,79,0.747,151,0.55,8,0.125,0.531,0.588,4.7,4,17.3,1,11,0.27,0.61,0.94,8.8,113.3,103
,Drew Eubanks,Por,F-C,25.08,2,24.8,51.7,12.2,14.4,2,0.5,11,0.636,0,0,0.636,0.631,7.5,7.5,16.5,1,6,0,0,1,6.2,124.1,105.3
,Tacko Fall,Cle,C,26.22,11,5.3,11.1,13.6,16.6,7,0.286,12,0.417,0,0,0.417,0.398,1.1,2.1,21.3,0.2,4.6,0,0.55,0.27,5.8,91.7,102
,Derrick Favors,Okc,F,30.63,39,16.7,34.9,13.4,4.5,25,0.64,166,0.554,16,0.125,0.522,0.534,5.3,4.7,14.4,0.6,6,0.44,0.31,0.23,5.9,118.7,102.1
,Bruno Fernando,Bos,F-C,23.54,20,2.9,6.1,16,23.6,5,0.8,13,0.462,1,1,0.536,0.586,1,0.8,13.8,0.2,9.9,0,0.15,0.25,7.5,,
,Bruno Fernando,Hou,F-C,23.54,2,6.7,14,35.7,17.7,3,0.667,7,0.571,1,0,0.5,0.536,5,3,24.5,0,0,0,0,1,0,98,103.7
,Dorian Finney-Smith,Dal,F,28.83,60,32.8,68.4,13.6,10.9,68,0.691,198,0.556,305,0.374,0.559,0.571,10.2,4.9,8.1,1.9,8.2,1.17,0.5,1.08,5.6,114.6,104
,Malik Fitts,Uta,F,20,7,5,10.4,13.7,18.2,0,0,5,0,4,0.5,0.333,0.333,0.9,1.4,15.6,0,0,0,0,0.29,0,56.9,101.6
